"Story","Title","Result","Date","Stability","Duration (s)"
"HTTP Request Method Tests on Restful Booker","Check if user can create a new booking","FAILURE","2023-01-10T22:26:29.041Z[Europe/London]","0.0","1.3"
"HTTP Request Method Tests on Restful Booker","Check if user can update an existing booking","FAILURE","2023-01-10T22:26:30.500Z[Europe/London]","0.0","2.25"
"HTTP Request Method Tests on Restful Booker","Check if user can delete an existing record","FAILURE","2023-01-10T22:26:32.776Z[Europe/London]","0.0","0.65"
